id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
97,male,1.2539266,0.48567122,0.23707406,-0.50288373,-0.7480841,-0.10760957,0.69714886,1.0760002,-0.060118936
98,male,1.7743561,0.8103683,0.08440273,-0.15914086,-0.4822663,-0.16318381,0.1250046,0.91073626,-0.15728104
99,male,1.56693,0.5692989,0.072508626,-0.23843506,-0.57680094,-0.17089863,0.24040635,0.8747851,-0.07365709
100,male,1.3308067,0.32605478,0.066608824,-0.27952513,-0.7386541,-0.16011135,0.52360904,1.0392134,-0.0036727681
101,male,1.5314398,0.71257204,0.21976495,-0.5188629,-0.56185913,-0.1256949,0.33448663,0.7647765,-0.13402343
102,male,1.0875643,0.24247766,0.21550672,-0.5435455,-0.8452282,-0.12513733,0.78205204,0.9788574,0.07171647
103,male,1.3326856,0.24635142,0.0020005188,-0.22020599,-0.7092274,-0.17169665,0.50721264,1.0368017,0.006136809
104,male,1.0141159,-0.18643837,-0.028018266,-0.56001574,-0.7501651,-0.19945207,0.47256655,0.56274855,0.12693994
105,male,1.0027794,-0.13908799,0.0292376,-0.6846278,-0.72399926,-0.19268377,0.42929196,0.4243325,0.1202471
106,male,1.0328373,-0.13727206,-0.0012113699,-0.5806805,-0.71547896,-0.19891025,0.43019697,0.5046534,0.12871698
107,male,1.3894385,0.0047099516,-0.15961887,-0.34617338,-0.49346283,-0.25390607,-0.046677966,0.28004983,0.0733871
108,male,1.2331606,-0.1475386,-0.1772448,-0.2209593,-0.68184245,-0.24895084,0.21618953,0.62329024,0.13292484
109,male,0.85880786,-0.38548604,-0.046025354,-0.6838038,-0.7554079,-0.2158005,0.44022357,0.3730179,0.18084583
110,male,0.9721675,-0.46084142,-0.17572775,-0.5389751,-0.69831127,-0.2579973,0.23094748,0.25384548,0.2065001
111,male,1.1067783,-0.2278035,-0.1163416,-0.53068364,-0.5914279,-0.24416752,0.13807766,0.24720071,0.13657439
