id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
95,female,0.060093295,0.7296735,0.20207925,0.251472,-0.33178812,0.43692738,-0.56695604,0.32730365,0.8117734
96,female,0.04162399,0.14629453,-0.14140989,0.25403625,-0.38662115,0.47705433,-0.43883786,0.5358217,0.9818476
97,female,0.03475086,0.38905007,-0.15265177,0.2827679,-0.39919764,0.47536492,-0.48061687,0.49944985,1.0982912
98,female,0.07457647,1.0946845,0.39192414,0.25164327,-0.29800472,0.44357458,-0.6028185,0.26878843,0.7609846
99,female,0.05117786,0.73042595,0.29450086,0.22675157,-0.30123392,0.4625862,-0.51251096,0.29690847,0.7137719
100,female,0.055462554,0.33323583,0.15442085,0.22369723,-0.28559318,0.60588455,-0.41895172,0.46607518,0.85192996
101,female,0.051654514,0.7939512,0.04668489,0.27849418,-0.42946246,0.2172027,-0.62448144,0.29986432,0.7841172
102,female,0.031974938,0.049776074,-0.18666796,0.28677005,-0.38386324,0.48797548,-0.3911793,0.51830125,0.95040935
103,female,0.06255017,0.27831903,0.24453588,0.18578596,-0.25559902,0.63878584,-0.36413947,0.50422144,0.7618714
104,female,0.009554119,-0.33928424,0.115711264,0.09491045,-0.33958155,0.32855546,-0.27709988,0.38746127,0.2881881
105,female,-0.007588752,-0.31524432,0.032877304,0.10767675,-0.3959317,0.18327025,-0.31812528,0.31053016,0.23235174
106,female,-0.003620574,-0.2802974,0.097609796,0.103654444,-0.3574789,0.27720496,-0.27970922,0.33848476,0.26452518
107,female,0.019328585,0.14325324,0.54933023,0.040100247,-0.28036132,0.20439917,-0.3367733,0.14567809,-0.13566418
108,female,0.025280518,-0.10708856,0.4773218,0.05959434,-0.20723188,0.5214748,-0.25109628,0.30741677,0.17059883
109,female,-0.034169428,-0.6192507,0.05697715,0.039056707,-0.36981118,0.2204912,-0.20647658,0.31279677,0.10407309
110,female,-0.014966045,-0.5813342,0.3245935,-0.00906275,-0.29905215,0.23753604,-0.18995476,0.24565119,-0.17205277
111,female,-0.027405689,-0.27384093,0.31632176,0.013522701,-0.33112794,0.16978975,-0.24330261,0.17937022,-0.099380836
112,female,0.011531603,0.39326146,0.5050303,0.08474416,-0.29068342,0.24072158,-0.419532,0.094380565,0.07477493
113,female,-0.001223618,0.2856718,0.68329966,0.031185798,-0.18779053,0.454329,-0.20481521,0.16706108,-0.005220171
