food_name,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
구구크러스터벨기에초코,male,-0.4459958994388566,0.031011606877339018,-0.15468981560758488,-0.2182531660005173,0.05851071578286296,-0.20038845939377342,-0.09856418054799466,-0.06961647730375002,-0.028891929694842985
구구크러스터컵,male,-0.4089087886976893,0.03376170064491607,-0.16561915754046752,-0.24177162849314532,0.03541797197488252,-0.18806441046732944,-0.08630011527362581,-0.07848191385510836,-0.03691193929462777
구슬팡더블초코,male,-0.17122269389375344,-0.2157197607782875,-0.187648406747075,-0.25643353855512746,0.19955767785076306,-0.3022466494661984,-0.21177251113384396,-0.1884721405410939,-0.07596872024935689
구운피스타치오&체리,male,0.022268156579857732,-0.3328699147321912,-0.08908956785084182,-0.09824933658660887,0.8124593512423408,-0.48345934299744525,-0.25290965619441225,-0.07154356928232981,-0.01405157354856498
그래스하퍼아이스크림,male,0.1428895523950462,-0.15141509998515212,-0.13764261166103495,-0.17810436869657295,0.4242651922133894,-0.42194223517054885,-0.26167326113509265,-0.06360656390666937,-0.02195838474620118
그레이프향,male,-0.4839455366316183,0.09965006530084988,-0.13037853179927827,-0.18376880371057333,0.10312551596894404,-0.18901716871191146,-0.09421693012117877,-0.16950079886589156,-0.1305291891972798
그롬젤라도알커피,male,0.013884556659641622,-0.6690992066582743,-0.03728605128543921,0.011143443196585124,1.3226191806810492,-0.6665214336029672,-0.33967524934054094,0.06042443532736973,0.1391619485064699
그루비 블루베리,male,-0.01593412453398866,0.3682986660110878,-0.18972168635668882,-0.34602320300452183,-0.13034471939071962,-0.28767403516581963,-0.20646240805115668,-0.3091120567813157,-0.2940509877994004
그루비 스트라치아텔라,male,0.18653398630745802,0.4276588678731693,-0.2086526096328012,-0.41001694577659487,-0.1215164728287607,-0.3236599130890159,-0.21980108906325047,-0.3596484589741645,-0.35593813122182777
그루비 크로칸티노,male,0.16365984592200367,0.33557266523061213,-0.1951348141564501,-0.317790238635855,-0.20060672898001097,-0.2949729101335572,-0.2727564127960614,-0.37149951766340517,-0.3340471194986969
그루비 피스타치오,male,0.18540536082661893,0.35290035491660343,-0.2168216728507653,-0.39709459624075555,-0.1615189307911864,-0.31472432560707436,-0.2517468344031247,-0.4062340295970065,-0.3693711703395372
그릭요거트,male,-0.4908188188424023,0.14727562828210508,-0.12202143221759329,-0.1666738420553293,0.07411516169870142,-0.13062340665669142,-0.03543476415181869,-0.13533510879267427,-0.11894575377661598
그릭요거트바,male,-0.1731128590752863,0.19089788230393276,-0.16141739151117862,-0.2686353789966654,0.0496149036202157,-0.281209627316442,-0.17928324470939633,-0.23424058387302188,-0.20328349476398916
